Algorithm	recommender	attack	iteration	eps	size	best	EFD_Top10	EPC_Top10	Gini_Top10	ICov_Top10	Prec_Top10	Recall_Top10	SE_Top10	UCov	nDCG_Top10
pgd20_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	20	0.5	full	0	0.042641671819104	0.00290282263681	0.018557390674853	917.999999999999	0.004503311258278	0.045033112582782	6.04976579814353	6040	0.022117722690365
pgd30_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	30	1	full	0	0.033082361674208	0.002176288296346	0.012546817885263	510	0.00362582781457	0.036258278145695	5.77033700296869	6040	0.017497805497315
pgd400_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	400	0.5	full	0	0.00126275772071	9.97268898119395E-05	0.026651750364194	720	0.000115894039735	0.001158940397351	6.86664900674818	6040	0.000472009499525
bim430_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	430	1	full	0	0	0	0.055397949790421	1168	0	0	7.91801780996074	6040	0
bim230_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	230	1	full	0	0.000191384787568	1.5142608535419E-05	0.037569143183991	913	1.65562913907285E-05	0.000165562913907	7.33814922912178	6040	7.13040659061909E-05
pgd320_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	320	1	full	0	0.000654788734072	5.24203257906457E-05	0.054029653859559	1114	3.31125827814569E-05	0.000331125827815	7.80524098635123	6040	0.000248344370861
pgd270_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	270	0.5	full	0	0.003032075968751	0.000248724313244	0.018158770589234	502	0.00023178807947	0.002317880794702	6.41736874658256	6040	0.001287503748714
pgd410_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	410	1	full	0	0.000222190857594	1.75800240941353E-05	0.061846064473461	1220	1.65562913907285E-05	0.000165562913907	8.1150784822709	6040	8.27814569536424E-05
fgsm_ep1.0_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	fgs	1	1	full	0	0.061801070517825	0.004402146369048	0.020481477509362	728.999999999999	0.006490066225166	0.064900662251656	6.46734127993658	6040	0.03140036107613
pgd50_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	50	0.5	full	0	0.031195153446778	0.002062488576018	0.012576856047404	545	0.003443708609272	0.034437086092715	5.74954999548996	6040	0.016483644540821
bim5_ep3.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	5	3	full	0	0.036552016205997	0.002443210571817	0.015844679196719	696.999999999999	0.003890728476821	0.038907284768212	5.94275529095903	6040	0.019237087094477
pgd420_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	420	1	full	0	0.000496462726966	4.08805047655218E-05	0.060402293303304	1234	4.96688741721854E-05	0.000496688741722	8.04745044464906	6040	0.000206656609831
bim290_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	290	0.5	full	0	0.0019729240584	0.000157964080557	0.019714489994727	519	0.000165562913907	0.001655629139073	6.5261723691802	6040	0.000750997908965
pgd320_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	320	0.5	full	0	0.001986239683854	0.000163077540614	0.022278923237794	573	0.000165562913907	0.001655629139073	6.69577366390674	6040	0.000801333631367
pgd130_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	130	0.5	full	0	0.029959041272313	0.001996541868748	0.012272059414966	382.999999999999	0.003360927152318	0.033609271523179	5.8815552068549	6040	0.01575584255209
bim200_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	200	1	full	0	0.000996863644607	8.05168379059834E-05	0.028652840711049	753	6.62251655629139E-05	0.000662251655629	6.98340416428625	6040	0.000383696914786
pgd390_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	390	0.5	full	0	0.00076535875939	6.05762043900328E-05	0.02881230840729	733	6.62251655629139E-05	0.000662251655629	6.96897707759311	6040	0.000286137910316
bim110_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	110	0.5	full	0	0.028875942040885	0.001919782246375	0.012099570117347	408.999999999999	0.003377483443709	0.033774834437086	5.81990213390852	6040	0.015230703827009
pgd40_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	40	0.5	full	0	0.03235061059814	0.002158715690027	0.013613096674442	589	0.003509933774834	0.035099337748344	5.81446031341583	6040	0.01703431537462
pgd450_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	450	1	full	0	0.000248137995296	1.79812154470042E-05	0.055534797258046	1176	1.65562913907285E-05	0.000165562913907	7.91890698680773	6040	8.27814569536424E-05
pgd280_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	280	1	full	0	0	0	0.052281568669508	1133	0	0	7.84605679734875	6040	0
pgd100_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	100	0.5	full	0	0.029554909779164	0.001959036827242	0.011692683057619	426	0.003360927152318	0.033609271523179	5.76342152726807	6040	0.015603179155613
pgd100_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	100	1	full	0	0.018035955223	0.001245331971491	0.012729442046277	438	0.001970198675497	0.019701986754967	5.93164185764063	6040	0.009303494308288
bim130_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	130	1	full	0	0.003138772833206	0.000235654091615	0.018560876209883	504	0.000314569536424	0.003145695364238	6.48147821514801	6040	0.001406194000291
